1.100000000000000000e+01,8.643038629512463933e-01
1.200000000000000000e+01,8.872612339223674427e-01
1.300000000000000000e+01,8.723541506262197931e-01
1.500000000000000000e+01,9.008934875859250235e-01
1.800000000000000000e+01,9.179488127205598369e-01
2.100000000000000000e+01,9.134700369041691692e-01
2.600000000000000000e+01,9.236640880804690701e-01
3.500000000000000000e+01,9.301756194999810656e-01
5.200000000000000000e+01,9.246500992859936208e-01
1.030000000000000000e+02,8.670938658666719201e-01
