2.130000000000000000e+02,3.862964921419650421e-01
1.711000000000000000e+03,4.929520935350132915e-01
3.208000000000000000e+03,6.666637527911229988e-01
4.705000000000000000e+03,7.766284216213055203e-01
6.202000000000000000e+03,8.088183597248705947e-01
7.699000000000000000e+03,8.329667182421793825e-01
9.196000000000000000e+03,8.481128614434646495e-01
1.069300000000000000e+04,8.633845965996749250e-01
1.219100000000000000e+04,8.751876538822215279e-01
1.368800000000000000e+04,8.883973893700397584e-01
1.518500000000000000e+04,8.939386393701861389e-01
1.668200000000000000e+04,8.997897058747165167e-01
1.817900000000000000e+04,9.053496142139276781e-01
1.967600000000000000e+04,9.074144498586638186e-01
2.117400000000000000e+04,9.124525350934725720e-01
